pnum,condition,block,trial,standard,relational match,superficial match,choice,supplemental
0,1,1,1,55,44,56,0,N/A
0,1,1,2,11,22,17,0,N/A
0,1,1,3,22,55,20,0,N/A
0,1,1,4,77,33,72,1,N/A
0,1,1,5,33,66,35,0,N/A
0,1,1,6,00,33,01,0,N/A
0,1,1,7,44,11,43,1,N/A
0,1,1,8,66,77,64,0,N/A
